COLUMNS = (PT,TM,ROG,ROHL,DROGDP,DROHLDP,DROGDT,DROHLDT,RS,VISG,VISHL,CPG,CPHL,HG,HHL,TCG,TCHL,SIGGHL,SEG,SEHL)
PVTTABLE POINT = (73600000.0,73.0,703.170464775297,703.170464775297,3.6618668331264534e-06,6.362899565747696e-07,-1.8675766053459553,-0.5320280520988573,0.0,0.0054011901893966305,0.000540119018939663,2914.7788386668108,2914.7810461458294,-117074.06922115479,-4611140.641982477,0.05182154060235167,0.05182154060235167,0.6650884802278303,100.0,100.0)
PVTTABLE POINT = (73600000.0,76.0,698.3495517618213,698.3495517618213,3.6618668331264534e-06,7.304175951580576e-07,-1.8675766053459553,-0.6024109581170226,0.0,0.005401880378881882,0.0005401880378881882,2915.502953072063,2915.526873852432,-111252.19286192674,-4605318.765623249,0.051760585585022584,0.051760585585022584,0.6456356140473891,100.0,100.0)
PVTTABLE POINT = (73600000.0,79.0,693.5524178405158,693.5524178405158,3.6618668331264534e-06,8.341565294971944e-07,-1.8675766053459553,-0.6898075197270672,0.0,0.005402124425449805,0.0005402124425449806,2915.599218472388,2915.9427054426533,-105424.12724091765,-4599490.70000224,0.05169831466344081,0.05169831466344081,0.6264340746123613,100.0,100.0)
PVTTABLE POINT = (73600000.0,82.0,688.7801692784423,688.7801692784423,3.6618668331264534e-06,1.0463022073226667e-06,-1.8675766053459553,-0.8551959623052179,0.0,0.005401966460805097,0.0005401966460805096,2916.0367147737456,2916.0349335819747,-99590.13378360216,-4593656.7065449245,0.051634646521843734,0.051634646521843734,0.6075092960217184,100.0,100.0)
PVTTABLE POINT = (73600000.0,85.0,684.0338749183146,684.0338749183146,3.6618668331264534e-06,1.3882066019550472e-06,-1.8675766053459553,-0.991092477555642,0.0,0.005401470449537125,0.0005401470449537125,2915.8072465884748,2915.8105338696046,-93750.46970388573,-4587817.042465208,0.051569490631943,0.051569490631943,0.5888953500293348,100.0,100.0)
PVTTABLE POINT = (73600000.0,88.0,679.314564310764,679.314564310764,3.6618668331264534e-06,6.543184113640207e-07,-1.8675766053459553,-0.4704181196356637,0.0,0.0054007419449666055,0.0005400741944966605,2915.275950053894,2915.2770243774266,-87905.38664870523,-4581971.959410028,0.05150274560368791,0.05150274560368791,0.5706410235777958,100.0,100.0)
PVTTABLE POINT = (73600000.0,91.0,674.6232271565475,674.6232271565475,3.6618668331264534e-06,3.8497996503165164e-07,-1.8675766053459553,-0.2395297601440245,0.0,0.005399998224950785,0.0005399998224950784,2914.4521955647992,2914.442430978302,-82055.1311437441,-4576121.7039050665,0.05143429710804334,0.05143429710804334,0.552823996996322,100.0,100.0)
PVTTABLE POINT = (73600000.0,94.0,669.9608118526364,669.9608118526364,3.0486090607206596e-06,3.0486090607206596e-06,-2.0068029844398096,-2.0068029844398096,1.0,0.0008684020601800613,0.0008684020601800613,2913.31524440238,2913.31524440238,-76199.94340677466,-76199.94340677466,0.12458490852700255,0.12458490852700255,0.0,100.0,100.0)
PVTTABLE POINT = (73600000.0,97.0,665.3282247971301,665.3282247971301,3.0815423669887727e-06,3.0815423669887727e-06,-1.9928704071517649,-1.9928704071517649,1.0,0.0008560452886995129,0.0008560452886995129,2911.9043801928656,2911.9043801928656,-70340.05720977392,-70340.05720977392,0.12355720297591243,0.12355720297591243,0.0,100.0,100.0)
PVTTABLE POINT = (73600000.0,100.0,660.7263298406074,660.7263298406074,3.1137356621466785e-06,3.1137356621466785e-06,-1.9785494164846866,-1.9785494164846866,1.0,0.000844099081765268,0.000844099081765268,2910.2191370883993,2910.2191370883993,-64475.69970558304,-64475.69970558304,0.12256076575717748,0.12256076575717748,0.0,100.0,100.0)
PVTTABLE POINT = (73600000.0,103.0,656.1559474590488,656.1559474590488,3.1451735219164964e-06,3.1451735219164964e-06,-1.9638608452323056,-1.9638608452323056,1.0,0.0008325058495802741,0.0008325058495802741,2908.269152813915,2908.269152813915,-58607.090658588335,-58607.090658588335,0.12159502970313948,0.12159502970313948,0.0,100.0,100.0)
PVTTABLE POINT = (73600000.0,106.0,651.6178544011902,651.6178544011902,3.175842167749917e-06,3.175842167749917e-06,-1.9488256566846458,-1.9488256566846458,1.0,0.0008212654771841575,0.0008212654771841575,2906.064361582043,2906.064361582043,-52734.442249572836,-52734.442249572836,0.12065942369996446,0.12065942369996446,0.0,100.0,100.0)
PVTTABLE POINT = (73600000.0,109.0,647.1127834815314,647.1127834815314,3.205729463462525e-06,3.205729463462525e-06,-1.93346487584461,-1.93346487584461,1.0,0.000810366651876341,0.000810366651876341,2903.614950681509,2903.614950681509,-46857.95879662596,-46857.95879662596,0.11975337373306773,0.11975337373306773,0.0,100.0,100.0)
PVTTABLE POINT = (73600000.0,112.0,642.6414235627693,642.6414235627693,3.2348249042430913e-06,3.2348249042430913e-06,-1.9177995228923457,-1.9177995228923457,1.0,0.0007997986192963106,0.0007997986192963106,2900.931319007892,2900.931319007892,-40977.83670280222,-40977.83670280222,0.11864678701658903,0.11864678701658903,0.0,100.0,100.0)
PVTTABLE POINT = (73600000.0,115.0,638.2044195178717,638.2044195178717,3.2631195984294418e-06,3.2631195984294418e-06,-1.9018505492478877,-1.9018505492478877,1.0,0.0007895503363227985,0.0007895503363227985,2898.0240343200903,2898.0240343200903,-35094.26414800808,-35094.26414800808,0.11783434663232742,0.11783434663232742,0.0,100.0,100.0)
PVTTABLE POINT = (73600000.0,118.0,633.802372022498,633.802372022498,3.2906062424874135e-06,3.2906062424874135e-06,-1.885638776540837,-1.885638776540837,1.0,0.0007796116926282006,0.0007796116926282006,2894.9037906762514,2894.9037906762514,-29207.420367425308,-29207.420367425308,0.11704151646398066,0.11704151646398066,0.0,100.0,100.0)
PVTTABLE POINT = (73600000.0,121.0,629.4358384963886,629.4358384963886,3.3172790896687755e-06,3.3172790896687755e-06,-1.8691848387535481,-1.8691848387535481,1.0,0.0007699726817211207,0.0007699726817211207,2891.5813719044163,2891.5813719044163,-23317.47654240299,-23317.47654240299,0.11626809503859595,0.11626809503859595,0.0,100.0,100.0)
PVTTABLE POINT = (73600000.0,124.0,625.105332983735,625.105332983735,3.3431339128544415e-06,3.3431339128544415e-06,-1.852509127761162,-1.852509127761162,1.0,0.0007606237998275404,0.0007606237998275404,2888.067610138112,2888.067610138112,-17424.594856430776,-17424.594856430776,0.11551387236075829,0.11551387236075829,0.0,100.0,100.0)
PVTTABLE POINT = (73600000.0,127.0,620.8113267165621,620.8113267165621,3.3681679621122368e-06,3.3681679621122368e-06,-1.8356317424488842,-1.8356317424488842,1.0,0.0007515557697078441,0.0007515557697078441,2884.3733494434846,2884.3733494434846,-11528.928547599353,-11528.928547599353,0.11477863057936168,0.11477863057936168,0.0,100.0,100.0)
PVTTABLE POINT = (73600000.0,130.0,616.5542490713697,616.5542490713697,3.3923799175146888e-06,3.3923799175146888e-06,-1.8185724415449163,-1.8185724415449163,1.0,0.0007427595262760852,0.0007427595262760852,2880.509411991324,2880.509411991324,-5630.62236809358,-5630.62236809358,0.11406214471553523,0.11406214471553523,0.0,100.0,100.0)
PVTTABLE POINT = (78000000.0,40.0,767.4259405472657,767.4259405472657,3.3923799175146888e-06,3.018689810201912e-07,-1.8185724415449163,-0.2477189560657166,0.0,0.005398902910042246,0.0005398902910042245,2604.0275054850363,2833.5039941823306,-178741.34484448005,-4672807.917605802,0.05242226597991216,0.05242226597991216,0.891775728012487,100.0,100.0)
PVTTABLE POINT = (78000000.0,43.0,762.6017693909846,762.6017693909846,3.3923799175146888e-06,5.403692951041279e-07,-1.8185724415449163,-0.3957558079649076,0.0,0.005407738388101796,0.0005407738388101797,2616.4189516380306,2837.9471311954876,-173049.43336953688,-4667116.006130859,0.05237209083682495,0.05237209083682495,0.870362608745029,100.0,100.0)
PVTTABLE POINT = (78000000.0,46.0,757.7863178325147,757.7863178325147,3.3923799175146888e-06,7.024944221262072e-07,-1.8185724415449163,-1.1363069261285812,0.0,0.005415923998418674,0.0005415923998418673,2842.1090952143018,2842.0785214047273,-167348.3875014428,-4661414.960262765,0.0523211421240318,0.0523211421240318,0.8490920764828842,100.0,100.0)
PVTTABLE POINT = (78000000.0,49.0,752.9808356767162,752.9808356767162,3.3923799175146888e-06,2.472550094431307e-07,-1.8185724415449163,-0.18976339312544066,0.0,0.005423536223494397,0.0005423536223494398,2845.888396977302,2845.8970197220588,-161638.4393138988,-4655705.012075221,0.05226938742427462,0.05226938742427462,0.8279689713068616,100.0,100.0)
PVTTABLE POINT = (78000000.0,52.0,748.1865593281586,748.1865593281586,3.3923799175146888e-06,4.728328741908478e-07,-1.8185724415449163,-0.36020742876100204,0.0,0.005430726814701928,0.0005430726814701928,2849.651321546625,2849.402118958548,-155919.82344095036,-4649986.396202273,0.052216791991138434,0.052216791991138434,0.8069986265512112,100.0,100.0)
PVTTABLE POINT = (78000000.0,55.0,743.4047093009357,743.4047093009357,3.3923799175146888e-06,4.475189414337438e-07,-1.8185724415449163,-0.36760125969796204,0.0,0.005438053966371524,0.0005438053966371523,2852.599365978875,2852.5939450739047,-150192.77571771014,-4644259.3484790325,0.052163318499469494,0.052163318499469494,0.7861869543218376,100.0,100.0)
PVTTABLE POINT = (78000000.0,58.0,738.6364888691787,738.6364888691787,3.3923799175146888e-06,3.292543692103101e-07,-1.8185724415449163,-0.25890728002697777,0.0,0.005446202004604123,0.0005446202004604124,2855.490016642225,2855.473257963477,-144457.53380408883,-4638524.106565411,0.05210892675893248,0.05210892675893248,0.765540553478644,100.0,100.0)
PVTTABLE POINT = (78000000.0,61.0,733.8830816844385,733.8830816844385,3.3923799175146888e-06,3.572669483967937e-07,-1.8185724415449163,-0.2850402026427365,0.0,0.005450796735884184,0.0005450796735884184,2858.2373005394174,2858.041440374123,-138714.3357051909,-4632780.908466513,0.05205357338359675,0.05205357338359675,0.7450668482586026,100.0,100.0)
PVTTABLE POINT = (78000000.0,64.0,729.1456501144054,729.1456501144054,3.3923799175146888e-06,4.03593431425521e-07,-1.8185724415449163,-0.32862846929224215,0.0,0.005454802096710207,0.0005454802096710207,2860.5938466653474,2860.300491596347,-132963.41972560622,-4627029.992486929,0.051997211408704065,0.051997211408704065,0.7247742696495518,100.0,100.0)
PVTTABLE POINT = (78000000.0,67.0,724.4253330067822,724.4253330067822,3.3923799175146888e-06,4.692792729714844e-07,-1.8185724415449163,-0.3898992592342603,0.0,0.005458242388708898,0.0005458242388708897,2862.263058139681,2862.253011082145,-127205.0230887942,-4621271.595850117,0.05193978984351171,0.05193978984351171,0.7046724979923222,100.0,100.0)
PVTTABLE POINT = (78000000.0,70.0,719.7232447275329,719.7232447275329,3.3923799175146888e-06,5.146549090155335e-07,-1.8185724415449163,-0.4277570742567145,0.0,0.005461142129109407,0.0005461142129109407,2863.89313021724,2863.9021865317445,-121439.38262580056,-4615505.955387123,0.051881253146134176,0.051881253146134176,0.6847727959995731,100.0,100.0)
PVTTABLE POINT = (78000000.0,73.0,715.0404727740101,715.0404727740101,3.3923799175146888e-06,6.01808345546677e-07,-1.8185724415449163,-0.5136554346187329,0.0,0.005463527502287454,0.0005463527502287453,2865.220317758987,2865.2517727311174,-115666.7330307858,-4609733.305792108,0.05182154060235167,0.05182154060235167,0.6650884802278303,100.0,100.0)
PVTTABLE POINT = (78000000.0,76.0,710.3780766753026,710.3780766753026,3.3923799175146888e-06,6.892888017877089e-07,-1.8185724415449163,-0.5808447586013087,0.0,0.005465429262642822,0.0005465429262642822,2866.3448862457853,2866.306072553478,-109887.30706019979,-4603953.879821522,0.051760585585022584,0.051760585585022584,0.6456356140473891,100.0,100.0)
PVTTABLE POINT = (78000000.0,79.0,705.7370864544894,705.7370864544894,3.3923799175146888e-06,7.857958138324108e-07,-1.8185724415449163,-0.6645177813433472,0.0,0.005466880978274095,0.0005466880978274095,2867.1620404580235,2867.0699144977298,-104101.33478407562,-4598167.907545398,0.05169831466344081,0.05169831466344081,0.6264340746123613,100.0,100.0)
PVTTABLE POINT = (78000000.0,82.0,701.1185012529676,701.1185012529676,3.3923799175146888e-06,9.816133022599297e-07,-1.8185724415449163,-0.8225433648452926,0.0,0.005467928137489423,0.0005467928137489422,2867.5419194317387,2867.5486259049385,-98309.04306905065,-4592375.615830373,0.051634646521843734,0.051634646521843734,0.6075092960217184,100.0,100.0)
PVTTABLE POINT = (78000000.0,85.0,696.5232883849043,696.5232883849043,3.3923799175146888e-06,1.2930005740660812e-06,-1.8185724415449163,-0.9521224102858212,0.0,0.005468633514859615,0.0005468633514859615,2867.745241938893,2867.7480089691585,-92510.65550952591,-4586577.228270848,0.051569490631943,0.051569490631943,0.5888953500293348,100.0,100.0)
PVTTABLE POINT = (78000000.0,88.0,691.9523817116616,691.9523817116616,3.3923799175146888e-06,6.234920372379292e-07,-1.8185724415449163,-0.45699503748124504,0.0,0.005469103071745769,0.000546910307174577,2867.673001920164,2867.674308508848,-86706.3911607042,-4580772.963922027,0.05150274560368791,0.05150274560368791,0.5706410235777958,100.0,100.0)
PVTTABLE POINT = (78000000.0,91.0,687.4066812454525,687.4066812454525,3.3923799175146888e-06,3.6397500819192306e-07,-1.8185724415449163,-0.2315951603445963,0.0,0.005469555578575457,0.0005469555578575457,2867.3677121609794,2867.334185655993,-80896.46506725531,-4574963.037828578,0.05143429710804334,0.05143429710804334,0.552823996996322,100.0,100.0)
PVTTABLE POINT = (78000000.0,94.0,682.887051868183,682.887051868183,2.831307480332846e-06,2.831307480332846e-06,-1.9414062680107649,-1.9414062680107649,1.0,0.0009049017095988999,0.0009049017095988999,2866.7346839871707,2866.7346839871707,-75081.0871508792,-75081.0871508792,0.12844692815408296,0.12844692815408296,0.0,100.0,100.0)
PVTTABLE POINT = (78000000.0,97.0,678.3943227512234,678.3943227512234,2.861981412580123e-06,2.861981412580123e-06,-1.928874023157633,-1.928874023157633,1.0,0.0008921717164297534,0.0008921717164297534,2865.8831986915297,2865.8831986915297,-69260.4621413704,-69260.4621413704,0.12739761365680155,0.12739761365680155,0.0,100.0,100.0)
PVTTABLE POINT = (78000000.0,100.0,673.9292868899698,673.9292868899698,2.892028023921587e-06,2.892028023921587e-06,-1.9159839199577846,-1.9159839199577846,1.0,0.0008798344653064373,0.0008798344653064373,2864.7874443881956,2864.7874443881956,-63434.78946428094,-63434.78946428094,0.12637878364045294,0.12637878364045294,0.0,100.0,100.0)
PVTTABLE POINT = (78000000.0,103.0,669.4927003449957,669.4927003449957,2.9214334445073286e-06,2.9214334445073286e-06,-1.902753702577789,-1.902753702577789,1.0,0.0008678745242539648,0.0008678745242539648,2863.455420579427,2863.455420579427,-57604.26252440456,-57604.26252440456,0.1253899141701219,0.1253899141701219,0.0,100.0,100.0)
PVTTABLE POINT = (78000000.0,106.0,665.0852819131992,665.0852819131992,2.950185112338727e-06,2.950185112338727e-06,-1.889201246644089,-1.889201246644089,1.0,0.000856278977018746,0.000856278977018746,2861.895378751602,2861.895378751602,-51769.06855699327,-51769.06855699327,0.12443047716645939,0.12443047716645939,0.0,100.0,100.0)
PVTTABLE POINT = (78000000.0,109.0,660.7077129145215,660.7077129145215,2.978271774276836e-06,2.978271774276836e-06,-1.8753445045583557,-1.8753445045583557,1.0,0.0008450470533269461,0.0008450470533269461,2860.115788503865,2860.115788503865,-45929.38838558085,-45929.38838558085,0.12349994133695137,0.12349994133695137,0.0,100.0,100.0)
PVTTABLE POINT = (78000000.0,112.0,656.3606371374884,656.3606371374884,3.005683481343849e-06,3.005683481343849e-06,-1.861201452399638,-1.861201452399638,1.0,0.0008341359783056485,0.0008341359783056485,2858.125305422154,2858.125305422154,-40085.39640105609,-40085.39640105609,0.12259777308817843,0.12259777308817843,0.0,100.0,100.0)
PVTTABLE POINT = (78000000.0,115.0,652.0446607427283,652.0446607427283,3.0324115785720927e-06,3.0324115785720927e-06,-1.8467900386769762,-1.8467900386769762,1.0,0.0008235466087505383,0.0008235466087505383,2855.9327375311964,2855.9327375311964,-34237.2602761304,-34237.2602761304,0.12172343736185899,0.12172343736185899,0.0,100.0,100.0)
PVTTABLE POINT = (78000000.0,118.0,647.7603519810385,647.7603519810385,3.058448689688083e-06,3.058448689688083e-06,-1.8321281351678766,-1.8321281351678766,1.0,0.0008132682969400672,0.0008132682969400672,2853.547011676209,2853.547011676209,-28385.140257537365,-28385.140257537365,0.12087639836006579,0.12087639836006579,0.0,100.0,100.0)
PVTTABLE POINT = (78000000.0,121.0,643.5082419995034,643.5082419995034,3.0837886969485686e-06,3.0837886969485686e-06,-1.8172334900490437,-1.8172334900490437,1.0,0.0008032918289867537,0.0008032918289867537,2850.977145300455,2850.977145300455,-22529.19006841909,-22529.19006841909,0.11981857248453309,0.11981857248453309,0.0,100.0,100.0)
PVTTABLE POINT = (78000000.0,124.0,639.288824606357,639.288824606357,3.108426716468339e-06,3.108426716468339e-06,-1.8021236834959022,-1.8021236834959022,1.0,0.0007936073693251393,0.0007936073693251393,2848.232213197293,2848.232213197293,-16669.55596252624,-16669.55596252624,0.1190606731483391,0.1190606731483391,0.0,100.0,100.0)
PVTTABLE POINT = (78000000.0,127.0,635.1025566773245,635.1025566773245,3.132359069398939e-06,3.132359069398939e-06,-1.786816085897822,-1.786816085897822,1.0,0.0007842057912370887,0.0007842057912370887,2845.321318722797,2845.321318722797,-10806.376772226766,-10806.376772226766,0.11832096768214187,0.11832096768214187,0.0,100.0,100.0)
PVTTABLE POINT = (78000000.0,130.0,630.9498589275322,630.9498589275322,3.1555832493307304e-06,3.1555832493307304e-06,-1.7713278188063606,-1.7713278188063606,1.0,0.0007750781913048822,0.0007750781913048822,2842.253566966379,2842.253566966379,-4939.78435809724,-4939.78435809724,0.11759925705451042,0.11759925705451042,0.0,100.0,100.0)
